No.,FREQUENCY(MHz),Z,D,Cs
722,27.2580,1.53302,0.18945,-0.000000003876
723,27.4710,1.56241,0.18663,-0.000000003772
724,27.6850,1.59218,0.18385,-0.000000003671
725,27.9010,1.62206,0.18107,-0.000000003574
726,28.1190,1.65226,0.17876,-0.00000000348
727,28.3390,1.68314,0.17642,-0.000000003388
728,28.5600,1.71292,0.1738,-0.000000003302
729,28.7830,1.74322,0.17165,-0.000000003218
730,29.0080,1.77278,0.16944,-0.000000003139
731,29.2340,1.80366,0.1672,-0.00000000306
732,29.4630,1.83378,0.16516,-0.000000002986
733,29.6930,1.86557,0.16267,-0.000000002911
734,29.9240,1.89621,0.1608,-0.000000002841
735,30.1580,1.92706,0.15907,-0.000000002773
736,30.3940,1.95855,0.15767,-0.000000002707
737,30.6310,1.98949,0.15564,-0.000000002643
738,30.8700,2.0207,0.15429,-0.000000002582
739,31.1110,2.05237,0.15264,-0.000000002521
740,31.3540,2.08401,0.1512,-0.000000002463
741,31.5990,2.11581,0.14967,-0.000000002407
742,31.8460,2.14782,0.14832,-0.000000002352
743,32.0940,2.17967,0.14682,-0.0000000023
744,32.3450,2.21152,0.14503,-0.000000002248
745,32.5970,2.24371,0.14346,-0.000000002198
746,32.8520,2.27602,0.14213,-0.00000000215
747,33.1080,2.30823,0.1407,-0.000000002103
748,33.3670,2.34019,0.13925,-0.000000002058
749,33.6280,2.37244,0.13795,-0.000000002014
750,33.8900,2.40549,0.13686,-0.00000000197
751,34.1550,2.43838,0.1356,-0.000000001929
752,34.4210,2.47129,0.13418,-0.000000001888
753,34.6900,2.50457,0.13293,-0.000000001848
754,34.9610,2.53834,0.13196,-0.000000001809
755,35.2340,2.57135,0.13081,-0.000000001772
756,35.5090,2.60488,0.12981,-0.000000001735
757,35.7860,2.63875,0.12841,-0.000000001699
758,36.0660,2.6729,0.12732,-0.000000001664
759,36.3480,2.70722,0.12638,-0.00000000163
760,36.6310,2.74074,0.12577,-0.000000001598
761,36.9170,2.77559,0.12473,-0.000000001565
762,37.2060,2.80986,0.12383,-0.000000001534
763,37.4960,2.84445,0.12302,-0.000000001503
764,37.7890,2.87952,0.12201,-0.000000001473
765,38.0840,2.91442,0.12099,-0.000000001444
766,38.3810,2.94978,0.12018,-0.000000001416
767,38.6810,2.98532,0.1194,-0.000000001388
768,38.9830,3.02098,0.11842,-0.000000001361
769,39.2870,3.05627,0.11787,-0.000000001335
770,39.5940,3.0924,0.11703,-0.000000001309
771,39.9030,3.12809,0.11615,-0.000000001284
772,40.2150,3.16506,0.11553,-0.000000001259
773,40.5290,3.2009,0.1150,-0.000000001235
774,40.8450,3.2378,0.1143,-0.000000001211
775,41.1640,3.27419,0.1136,-0.000000001188
776,41.4860,3.31136,0.11282,-0.000000001166
777,41.8100,3.34862,0.11211,-0.000000001144
778,42.1360,3.38625,0.1111,-0.000000001122
779,42.4650,3.42489,0.11026,-0.000000001101
780,42.7970,3.46395,0.10924,-0.00000000108
781,43.1310,3.50321,0.10876,-0.00000000106
782,43.4680,3.54221,0.10823,-0.00000000104
783,43.8070,3.58066,0.1078,-0.000000001021
784,44.1490,3.61831,0.10742,-0.000000001002
785,44.4940,3.65535,0.10701,-0.000000000984
786,44.8410,3.69207,0.10637,-0.000000000967
787,45.1920,3.72992,0.10603,-0.000000000949
788,45.5440,3.76807,0.10567,-0.000000000933
789,45.9000,3.8066,0.10524,-0.000000000916
790,46.2580,3.8462,0.10476,-0.000000000899
791,46.6200,3.88554,0.10395,-0.000000000883
792,46.9840,3.92641,0.10331,-0.000000000867
793,47.3500,3.96665,0.10253,-0.000000000852
794,47.7200,4.00791,0.10185,-0.000000000836
795,48.0930,4.04876,0.10104,-0.000000000822
796,48.4680,4.08981,0.10054,-0.000000000807
797,48.8470,4.13176,0.1001,-0.000000000793
798,49.2280,4.17391,0.09948,-0.000000000778
799,49.6130,4.21613,0.0990,-0.000000000765
800,50.0000,4.25818,0.09849,-0.000000000751
