No.,FREQUENCY(MHz),Z,D,Cs
450,3.2862,2.40459,0.67612,0.000000024313
451,3.3119,2.39022,0.67611,0.000000024269
452,3.3377,2.37595,0.6764,0.000000024229
453,3.3638,2.3616,0.67631,0.000000024186
454,3.3900,2.34678,0.67652,0.000000024153
455,3.4165,2.33233,0.67697,0.00000002412
456,3.4432,2.31779,0.67684,0.000000024081
457,3.4701,2.30369,0.67734,0.000000024046
458,3.4972,2.28941,0.67804,0.000000024017
459,3.5245,2.2751,0.67792,0.000000023979
460,3.5520,2.26123,0.67782,0.000000023939
461,3.5797,2.24655,0.67837,0.000000023915
462,3.6077,2.23253,0.67862,0.000000023881
463,3.6358,2.21817,0.67881,0.000000023852
464,3.6642,2.20408,0.67907,0.000000023821
465,3.6929,2.1897,0.67932,0.000000023794
466,3.7217,2.17587,0.67962,0.000000023763
467,3.7507,2.16113,0.68019,0.000000023747
468,3.7800,2.14731,0.68042,0.000000023717
469,3.8095,2.13346,0.6809,0.000000023691
470,3.8393,2.11906,0.6812,0.00000002367
471,3.8693,2.10529,0.68168,0.000000023645
472,3.8995,2.09111,0.6821,0.000000023626
473,3.9299,2.07755,0.68268,0.000000023603
474,3.9606,2.06326,0.68325,0.000000023588
475,3.9915,2.0491,0.68359,0.000000023571
476,4.0227,2.03548,0.68404,0.00000002355
477,4.0541,2.02145,0.68495,0.000000023539
478,4.0858,2.00762,0.68567,0.000000023526
479,4.1177,1.9939,0.68612,0.000000023509
480,4.1498,1.97964,0.68676,0.000000023502
481,4.1822,1.96616,0.68704,0.000000023483
482,4.2149,1.95269,0.68821,0.000000023474
483,4.2478,1.93905,0.68845,0.000000023459
484,4.2810,1.92495,0.68898,0.000000023453
485,4.3144,1.91114,0.69036,0.000000023455
486,4.3481,1.89798,0.69142,0.000000023446
487,4.3820,1.88397,0.69192,0.000000023443
488,4.4163,1.87046,0.69276,0.000000023439
489,4.4507,1.85636,0.69393,0.000000023447
490,4.4855,1.84321,0.69471,0.00000002344
491,4.5205,1.82971,0.69581,0.000000023442
492,4.5558,1.81653,0.69663,0.000000023438
493,4.5914,1.80308,0.69786,0.000000023443
494,4.6272,1.7894,0.69874,0.000000023449
495,4.6634,1.77593,0.69993,0.000000023457
496,4.6998,1.76234,0.70145,0.000000023471
497,4.7365,1.74908,0.7026,0.000000023479
498,4.7735,1.73552,0.70368,0.000000023491
499,4.8107,1.72247,0.70493,0.0000000235
500,4.8483,1.70906,0.70677,0.000000023521
501,4.8862,1.69542,0.70798,0.00000002354
502,4.9243,1.68213,0.70934,0.000000023557
503,4.9628,1.66872,0.71089,0.000000023579
504,5.0015,1.65574,0.7125,0.000000023598
505,5.0406,1.64284,0.71423,0.000000023618
