No.,FREQUENCY(MHz),Z,D,Cs
307,1.0806,33.9358,0.01732,0.000000004341
308,1.0890,33.6747,0.01738,0.000000004341
309,1.0975,33.4147,0.01744,0.000000004341
310,1.1061,33.1551,0.01753,0.000000004341
311,1.1147,32.9002,0.01761,0.00000000434
312,1.1234,32.6460,0.01766,0.00000000434
313,1.1322,32.3927,0.01775,0.00000000434
314,1.1410,32.1432,0.01781,0.00000000434
315,1.1499,31.8955,0.01788,0.00000000434
316,1.1589,31.6484,0.01798,0.00000000434
317,1.1680,31.4017,0.01801,0.00000000434
318,1.1771,31.1596,0.0181,0.00000000434
319,1.1863,30.9186,0.01817,0.00000000434
320,1.1955,30.6815,0.01825,0.00000000434
321,1.2049,30.4424,0.01832,0.00000000434
322,1.2143,30.2074,0.01839,0.00000000434
323,1.2238,29.9726,0.01846,0.00000000434
324,1.2333,29.7418,0.01854,0.00000000434
325,1.2429,29.5117,0.01861,0.00000000434
326,1.2526,29.2846,0.0187,0.00000000434
327,1.2624,29.0575,0.01876,0.00000000434
328,1.2723,28.8314,0.01883,0.00000000434
329,1.2822,28.6084,0.01893,0.00000000434
330,1.2922,28.3876,0.01898,0.00000000434
331,1.3023,28.1676,0.01905,0.000000004339
332,1.3125,27.9481,0.01915,0.00000000434
333,1.3227,27.7319,0.01919,0.00000000434
334,1.3331,27.5163,0.0193,0.00000000434
335,1.3435,27.3028,0.0194,0.00000000434
336,1.3540,27.0908,0.01944,0.00000000434
337,1.3645,26.8827,0.01954,0.00000000434
338,1.3752,26.6732,0.01961,0.00000000434
339,1.3859,26.4672,0.0197,0.00000000434
340,1.3968,26.2607,0.01975,0.00000000434
341,1.4077,26.0570,0.01982,0.00000000434
342,1.4187,25.8540,0.01995,0.00000000434
343,1.4297,25.6547,0.02003,0.00000000434
344,1.4409,25.4552,0.02008,0.00000000434
345,1.4521,25.2585,0.02018,0.00000000434
346,1.4635,25.0612,0.02028,0.00000000434
347,1.4749,24.8668,0.02037,0.00000000434
348,1.4864,24.6740,0.02042,0.00000000434
349,1.4980,24.4828,0.02055,0.00000000434
350,1.5097,24.2932,0.02061,0.00000000434
351,1.5215,24.1035,0.02069,0.000000004341
352,1.5334,23.9157,0.02079,0.000000004341
353,1.5454,23.7300,0.02086,0.000000004341
354,1.5574,23.5459,0.02095,0.000000004341
355,1.5696,23.3633,0.02106,0.000000004341
356,1.5819,23.1808,0.02112,0.000000004341
357,1.5942,23.0009,0.02125,0.000000004341
358,1.6067,22.8217,0.02136,0.000000004341
359,1.6192,22.6444,0.02144,0.000000004342
360,1.6318,22.4686,0.02154,0.000000004342
361,1.6446,22.2930,0.02161,0.000000004342
362,1.6574,22.1195,0.02172,0.000000004342
363,1.6704,21.9472,0.0218,0.000000004342
364,1.6834,21.7766,0.0219,0.000000004343
365,1.6966,21.6057,0.02201,0.000000004343
366,1.7098,21.4383,0.0221,0.000000004343
367,1.7232,21.2706,0.02222,0.000000004343
368,1.7366,21.1062,0.02228,0.000000004343
369,1.7502,20.9409,0.02241,0.000000004344
370,1.7638,20.7784,0.02248,0.000000004344
371,1.7776,20.6165,0.02257,0.000000004344
372,1.7915,20.4553,0.02269,0.000000004344
373,1.8055,20.2951,0.0228,0.000000004345
374,1.8196,20.1366,0.02288,0.000000004345
375,1.8338,19.9799,0.02301,0.000000004345
376,1.8481,19.8235,0.02308,0.000000004345
377,1.8625,19.6691,0.02323,0.000000004346
378,1.8771,19.5152,0.02332,0.000000004346
379,1.8917,19.3636,0.02336,0.000000004346
380,1.9065,19.2116,0.02352,0.000000004347
381,1.9214,19.0613,0.02361,0.000000004347
382,1.9364,18.9117,0.02373,0.000000004347
383,1.9515,18.7644,0.02381,0.000000004348
384,1.9667,18.6183,0.02392,0.000000004348
385,1.9821,18.4723,0.02402,0.000000004348
386,1.9976,18.3271,0.02416,0.000000004349
387,2.0132,18.1832,0.02426,0.000000004349
388,2.0289,18.0405,0.0244,0.00000000435
389,2.0447,17.8999,0.02451,0.00000000435
390,2.0607,17.7591,0.02458,0.00000000435
391,2.0768,17.6195,0.02473,0.000000004351
