No.,FREQUENCY(MHz),Z,D,Cs
596,10.2300,1010.9800,0.06694,-0.000000000015
597,10.3100,1020.5700,0.07117,-0.000000000015
598,10.3900,1030.8300,0.07475,-0.000000000015
599,10.4710,1040.7600,0.07844,-0.000000000015
600,10.5530,1051.1000,0.08202,-0.000000000014
601,10.6360,1061.7200,0.08543,-0.000000000014
602,10.7190,1072.6300,0.08898,-0.000000000014
603,10.8020,1083.5900,0.09256,-0.000000000014
604,10.8870,1095.5800,0.09666,-0.000000000013
605,10.9720,1107.5400,0.10212,-0.000000000013
606,11.0570,1120.9100,0.1093,-0.000000000013
607,11.1440,1133.9800,0.11652,-0.000000000013
608,11.2310,1145.6400,0.1242,-0.000000000012
609,11.3180,1158.2700,0.13191,-0.000000000012
610,11.4070,1169.5300,0.14029,-0.000000000012
611,11.4960,1181.2600,0.14814,-0.000000000012
612,11.5860,1193.1600,0.1562,-0.000000000012
613,11.6760,1204.3900,0.16387,-0.000000000011
614,11.7670,1215.9300,0.17033,-0.000000000011
615,11.8590,1227.5700,0.17695,-0.000000000011
616,11.9520,1238.6400,0.18304,-0.000000000011
617,12.0450,1251.2000,0.18925,-0.000000000011
618,12.1390,1263.7000,0.19508,-0.000000000011
619,12.2340,1276.5100,0.20189,-0.00000000001
620,12.3290,1288.3800,0.20769,-0.00000000001
621,12.4260,1301.5300,0.21366,-0.00000000001
622,12.5230,1314.5300,0.21981,-0.00000000001
623,12.6200,1326.7800,0.22568,-0.00000000001
624,12.7190,1339.6800,0.23222,-0.00000000001
625,12.8180,1352.9800,0.2383,-0.000000000009
626,12.9180,1366.4000,0.24526,-0.000000000009
627,13.0190,1379.3600,0.25177,-0.000000000009
628,13.1210,1393.4800,0.25843,-0.000000000009
629,13.2230,1406.4000,0.26597,-0.000000000009
630,13.3270,1420.6900,0.27251,-0.000000000009
631,13.4310,1434.3400,0.27872,-0.000000000009
632,13.5360,1448.3300,0.28492,-0.000000000008
633,13.6410,1463.2000,0.29194,-0.000000000008
634,13.7480,1476.8800,0.29887,-0.000000000008
635,13.8550,1491.1300,0.30609,-0.000000000008
636,13.9630,1506.1800,0.31359,-0.000000000008
637,14.0720,1520.4900,0.32061,-0.000000000008
638,14.1820,1535.5300,0.3277,-0.000000000008
639,14.2930,1550.0500,0.33478,-0.000000000008
640,14.4050,1565.5900,0.34146,-0.000000000007
641,14.5170,1580.5500,0.34839,-0.000000000007
642,14.6300,1595.3400,0.35502,-0.000000000007
643,14.7450,1610.0500,0.36182,-0.000000000007
644,14.8600,1625.3400,0.36915,-0.000000000007
645,14.9760,1641.4800,0.37588,-0.000000000007
646,15.0930,1657.7400,0.38286,-0.000000000007
647,15.2110,1673.9000,0.38974,-0.000000000007
648,15.3290,1690.2700,0.39633,-0.000000000007
649,15.4490,1706.6600,0.40362,-0.000000000007
650,15.5700,1721.9200,0.41127,-0.000000000006
651,15.6910,1737.9500,0.41883,-0.000000000006
652,15.8140,1753.8100,0.42625,-0.000000000006
653,15.9370,1768.4600,0.4334,-0.000000000006
654,16.0620,1784.8400,0.43976,-0.000000000006
655,16.1870,1802.6300,0.44528,-0.000000000006
656,16.3140,1818.8900,0.45213,-0.000000000006
657,16.4410,1836.4200,0.45721,-0.000000000006
658,16.5690,1857.1700,0.46264,-0.000000000006
659,16.6990,1876.9900,0.46918,-0.000000000006
660,16.8290,1898.3900,0.47496,-0.000000000006
661,16.9600,1920.3900,0.48117,-0.000000000005
662,17.0930,1942.1500,0.48713,-0.000000000005
663,17.2260,1968.0200,0.49359,-0.000000000005
664,17.3610,1992.6100,0.50172,-0.000000000005
665,17.4960,2016.8200,0.50921,-0.000000000005
666,17.6330,2044.7900,0.51796,-0.000000000005
667,17.7710,2071.0100,0.52796,-0.000000000005
668,17.9090,2098.9700,0.53866,-0.000000000005
669,18.0490,2125.8400,0.54934,-0.000000000005
670,18.1900,2157.7000,0.56164,-0.000000000005
671,18.3320,2185.3000,0.57594,-0.000000000005
672,18.4750,2214.4600,0.59333,-0.000000000005
673,18.6200,2238.5300,0.61473,-0.000000000004
674,18.7650,2262.9800,0.63666,-0.000000000004
675,18.9120,2284.3500,0.65643,-0.000000000004
676,19.0590,2305.8500,0.6760,-0.000000000004
677,19.2080,2326.7300,0.69758,-0.000000000004
678,19.3580,2345.5000,0.71714,-0.000000000004
679,19.5090,2365.5500,0.73604,-0.000000000004
680,19.6620,2382.1100,0.75544,-0.000000000004
681,19.8150,2399.3500,0.77405,-0.000000000004
682,19.9700,2414.2700,0.79261,-0.000000000004
683,20.1260,2437.3700,0.80952,-0.000000000004
684,20.2830,2458.5200,0.82686,-0.000000000004
685,20.4410,2479.6900,0.8450,-0.000000000004
686,20.6010,2502.8700,0.85848,-0.000000000004
687,20.7620,2527.6000,0.87853,-0.000000000004
688,20.9240,2549.3700,0.89599,-0.000000000004
689,21.0870,2570.1100,0.91409,-0.000000000004
690,21.2520,2591.4800,0.93424,-0.000000000004
691,21.4180,2615.3900,0.94915,-0.000000000004
692,21.5850,2650.3700,0.9608,-0.000000000004
693,21.7540,2686.2200,0.96825,-0.000000000004
694,21.9230,2723.8600,0.97652,-0.000000000004
695,22.0950,2755.0100,0.98436,-0.000000000004
696,22.2670,2787.0600,0.99535,-0.000000000004
697,22.4410,2820.1200,1.01012,-0.000000000004
698,22.6160,2849.3700,1.02842,-0.000000000004
699,22.7930,2884.2800,1.04273,-0.000000000003
700,22.9710,2921.6600,1.0567,-0.000000000003
701,23.1500,2959.6000,1.08175,-0.000000000003
702,23.3310,2987.9000,1.11014,-0.000000000003
703,23.5130,3018.4500,1.14106,-0.000000000003
704,23.6970,3045.0600,1.17621,-0.000000000003
705,23.8820,3065.8500,1.21546,-0.000000000003
706,24.0680,3094.8900,1.24925,-0.000000000003
707,24.2560,3145.3800,1.26963,-0.000000000003
708,24.4460,3191.9300,1.2839,-0.000000000003
709,24.6360,3239.5100,1.3006,-0.000000000003
710,24.8290,3267.8300,1.32659,-0.000000000003
711,25.0230,3316.6600,1.34646,-0.000000000003
712,25.2180,3380.4800,1.3525,-0.000000000003
713,25.4150,3436.0100,1.3568,-0.000000000003
714,25.6130,3481.8000,1.37379,-0.000000000003
715,25.8130,3522.7500,1.40148,-0.000000000003
716,26.0150,3558.1700,1.42849,-0.000000000003
717,26.2180,3605.8900,1.4608,-0.000000000003
718,26.4230,3662.7100,1.49602,-0.000000000003
719,26.6290,3710.2800,1.54151,-0.000000000003
720,26.8370,3754.9300,1.60781,-0.000000000003
721,27.0470,3791.4700,1.68862,-0.000000000003
722,27.2580,3830.3400,1.77059,-0.000000000003
723,27.4710,3876.6000,1.86589,-0.000000000003
724,27.6850,3930.6200,1.95697,-0.000000000003
725,27.9010,3989.9800,2.04871,-0.000000000003
726,28.1190,4074.4500,2.13608,-0.000000000003
727,28.3390,4129.3400,2.26183,-0.000000000003
728,28.5600,4156.2900,2.4198,-0.000000000004
729,28.7830,4171.8100,2.58392,-0.000000000004
730,29.0080,4174.1200,2.76951,-0.000000000004
731,29.2340,4192.0900,2.99718,-0.000000000004
732,29.4630,4180.8700,3.28599,-0.000000000004
733,29.6930,4167.4200,3.61144,-0.000000000005
734,29.9240,4168.3600,3.97431,-0.000000000005
735,30.1580,4151.6200,4.41698,-0.000000000006
736,30.3940,4135.1700,4.95611,-0.000000000006
737,30.6310,4123.8000,5.60297,-0.000000000007
738,30.8700,4149.2600,6.23317,-0.000000000008
739,31.1110,4167.1400,6.89617,-0.000000000009
740,31.3540,4156.0400,7.77014,-0.00000000001
741,31.5990,4139.3600,8.84528,-0.000000000011
742,31.8460,4135.4100,10.23867,-0.000000000012
743,32.0940,4117.5400,12.14249,-0.000000000015
744,32.3450,4093.7200,14.66491,-0.000000000018
745,32.5970,4053.1700,17.84533,-0.000000000022
746,32.8520,4027.0200,22.6603,-0.000000000027
747,33.1080,4019.7700,34.64269,-0.000000000041
748,33.3670,4013.7600,65.5907,-0.000000000078
749,33.6280,4021.8100,3090.48443,0.000000003637
750,33.8900,4041.1500,46.41938,0.000000000054
751,34.1550,4065.4400,21.6660,0.000000000025
752,34.4210,4060.4400,13.24608,0.000000000015
753,34.6900,4036.4300,9.5242,0.000000000011
754,34.9610,3989.7300,7.54054,0.000000000009
755,35.2340,3921.9100,6.4937,0.000000000008
756,35.5090,3869.8800,5.78967,0.000000000007
757,35.7860,3805.1500,5.18022,0.000000000006
758,36.0660,3719.4500,4.82896,0.000000000006
759,36.3480,3650.4500,4.4852,0.000000000006
760,36.6310,3567.4600,4.23227,0.000000000005
761,36.9170,3495.2600,4.01151,0.000000000005
762,37.2060,3425.9200,3.90308,0.000000000005
763,37.4960,3373.9800,3.8288,0.000000000005
764,37.7890,3326.3500,3.71388,0.000000000005
765,38.0840,3286.8300,3.61652,0.000000000005
766,38.3810,3249.2700,3.52351,0.000000000005
767,38.6810,3224.9100,3.43585,0.000000000005
768,38.9830,3194.6300,3.34397,0.000000000004
769,39.2870,3180.6200,3.30035,0.000000000004
770,39.5940,3157.9100,3.22531,0.000000000004
771,39.9030,3139.0500,3.14148,0.000000000004
772,40.2150,3119.1600,2.98556,0.000000000004
773,40.5290,3099.6100,2.82244,0.000000000004
774,40.8450,3069.8300,2.70346,0.000000000004
775,41.1640,3041.4100,2.60286,0.000000000004
776,41.4860,3014.4000,2.50854,0.000000000003
777,41.8100,2986.6100,2.42134,0.000000000003
778,42.1360,2948.1300,2.38148,0.000000000003
779,42.4650,2910.3200,2.33829,0.000000000003
780,42.7970,2886.9700,2.30524,0.000000000003
781,43.1310,2865.7600,2.27779,0.000000000003
782,43.4680,2846.7800,2.24538,0.000000000003
783,43.8070,2826.7300,2.19357,0.000000000003
784,44.1490,2807.2800,2.14926,0.000000000003
785,44.4940,2777.8900,2.09966,0.000000000003
786,44.8410,2741.1000,2.06784,0.000000000003
787,45.1920,2715.7400,2.05771,0.000000000003
788,45.5440,2711.4200,2.04731,0.000000000003
789,45.9000,2721.3100,2.02511,0.000000000003
790,46.2580,2744.3100,1.99232,0.000000000003
791,46.6200,2767.4600,1.9295,0.000000000003
792,46.9840,2788.5200,1.84854,0.000000000003
793,47.3500,2798.6500,1.75867,0.000000000002
794,47.7200,2802.4000,1.67082,0.000000000002
795,48.0930,2788.8000,1.57974,0.000000000002
796,48.4680,2755.6400,1.48985,0.000000000002
797,48.8470,2707.6800,1.41197,0.000000000002
798,49.2280,2646.5800,1.35946,0.000000000002
799,49.6130,2593.3200,1.32548,0.000000000002
800,50.0000,2548.8500,1.30046,0.000000000002
