No.,FREQUENCY(MHz),Z,D,PH
241,0.6467,7.1671,0.27381,-74.6870
242,0.6518,7.11867,0.27483,-74.6330
243,0.6568,7.0711,0.27588,-74.5770
244,0.6620,7.02312,0.2770,-74.5170
245,0.6671,6.97544,0.27805,-74.4610
246,0.6724,6.92917,0.27911,-74.4050
247,0.6776,6.88183,0.28012,-74.3510
248,0.6829,6.83598,0.28128,-74.2900
249,0.6882,6.78959,0.28235,-74.2330
250,0.6936,6.74414,0.28346,-74.1740
251,0.6990,6.69868,0.28452,-74.1180
252,0.7045,6.65374,0.28565,-74.0580
253,0.7100,6.60871,0.2868,-73.9970
254,0.7155,6.56436,0.28798,-73.9340
255,0.7211,6.52044,0.28886,-73.8880
256,0.7267,6.47673,0.29007,-73.8240
257,0.7324,6.43383,0.29124,-73.7620
258,0.7381,6.39004,0.29238,-73.7020
259,0.7439,6.34762,0.29355,-73.6410
260,0.7497,6.30528,0.29469,-73.5800
261,0.7556,6.26359,0.29584,-73.5200
262,0.7615,6.22126,0.29686,-73.4660
263,0.7674,6.17979,0.2980,-73.4060
264,0.7734,6.13831,0.29903,-73.3520
265,0.7794,6.09676,0.30022,-73.2890
266,0.7855,6.05659,0.30146,-73.2240
267,0.7917,6.01619,0.30246,-73.1710
268,0.7978,5.97576,0.30363,-73.1100
269,0.8041,5.93589,0.30475,-73.0520
270,0.8103,5.89557,0.3060,-72.9860
271,0.8167,5.85721,0.30715,-72.9260
272,0.8230,5.8173,0.30832,-72.8650
273,0.8295,5.77818,0.30948,-72.8040
274,0.8359,5.73979,0.31072,-72.7390
275,0.8425,5.70186,0.3118,-72.6830
276,0.8491,5.66325,0.31304,-72.6180
277,0.8557,5.62527,0.31432,-72.5510
278,0.8624,5.58785,0.31537,-72.4960
279,0.8691,5.55046,0.31675,-72.4240
280,0.8759,5.51322,0.31785,-72.3670
281,0.8827,5.47643,0.31915,-72.3000
282,0.8896,5.44076,0.32032,-72.2390
283,0.8966,5.40401,0.32158,-72.1730
284,0.9036,5.36798,0.3230,-72.0990
285,0.9106,5.33073,0.32404,-72.0460
286,0.9177,5.29575,0.32506,-71.9930
287,0.9249,5.26052,0.32653,-71.9160
288,0.9321,5.22639,0.32779,-71.8510
289,0.9394,5.19138,0.32911,-71.7830
290,0.9467,5.15742,0.33051,-71.7110
291,0.9541,5.12237,0.33173,-71.6480
292,0.9616,5.0881,0.33294,-71.5850
293,0.9691,5.05484,0.33431,-71.5150
294,0.9766,5.02111,0.33554,-71.4510
295,0.9843,4.98731,0.33693,-71.3800
296,0.9920,4.95391,0.33823,-71.3130
297,0.9997,4.92128,0.33946,-71.2500
298,1.0075,4.88832,0.34114,-71.1630
299,1.0154,4.85602,0.3422,-71.1090
300,1.0233,4.82371,0.34353,-71.0410
301,1.0313,4.79168,0.34494,-70.9690
302,1.0393,4.76025,0.3463,-70.8990
303,1.0475,4.72769,0.34759,-70.8330
304,1.0556,4.69646,0.34904,-70.7590
305,1.0639,4.6656,0.35037,-70.6910
306,1.0722,4.63397,0.3517,-70.6230
307,1.0806,4.60331,0.35303,-70.5550
308,1.0890,4.57313,0.35445,-70.4830
309,1.0975,4.54216,0.35589,-70.4100
310,1.1061,4.51242,0.35735,-70.3360
311,1.1147,4.48209,0.35888,-70.2580
312,1.1234,4.45332,0.36018,-70.1920
313,1.1322,4.42343,0.36158,-70.1210
314,1.1410,4.39459,0.36295,-70.0510
315,1.1499,4.36454,0.36433,-69.9820
316,1.1589,4.33522,0.36588,-69.9040
317,1.1680,4.30621,0.36729,-69.8320
318,1.1771,4.27765,0.3686,-69.7660
319,1.1863,4.24928,0.37022,-69.6840
320,1.1955,4.22143,0.37165,-69.6120
321,1.2049,4.19269,0.37332,-69.5280
322,1.2143,4.16495,0.37462,-69.4630
323,1.2238,4.13712,0.3760,-69.3940
324,1.2333,4.11009,0.37767,-69.3100
325,1.2429,4.08271,0.37919,-69.2340
326,1.2526,4.05556,0.38065,-69.1610
327,1.2624,4.02835,0.38216,-69.0850
328,1.2723,4.00213,0.38375,-69.0060
329,1.2822,3.97462,0.38524,-68.9310
330,1.2922,3.94886,0.3866,-68.8640
331,1.3023,3.92205,0.38826,-68.7810
332,1.3125,3.89583,0.38989,-68.7000
333,1.3227,3.86984,0.39135,-68.6270
334,1.3331,3.84413,0.39291,-68.5490
335,1.3435,3.81847,0.39466,-68.4630
336,1.3540,3.79246,0.39628,-68.3820
337,1.3645,3.76775,0.39786,-68.3050
338,1.3752,3.74264,0.39944,-68.2260
339,1.3859,3.71774,0.40109,-68.1450
340,1.3968,3.69254,0.40263,-68.0690
341,1.4077,3.66812,0.40441,-67.9810
342,1.4187,3.64321,0.40621,-67.8920
343,1.4297,3.61866,0.40758,-67.8250
344,1.4409,3.59473,0.40924,-67.7430
345,1.4521,3.5705,0.4109,-67.6620
346,1.4635,3.54633,0.41262,-67.5780
347,1.4749,3.5227,0.41431,-67.4950
348,1.4864,3.49869,0.41597,-67.4140
349,1.4980,3.47527,0.41776,-67.3270
350,1.5097,3.45183,0.41966,-67.2340
351,1.5215,3.42919,0.42131,-67.1540
352,1.5334,3.40594,0.4231,-67.0670
353,1.5454,3.38303,0.4247,-66.9890
354,1.5574,3.36033,0.42666,-66.8940
