No.,FREQUENCY(MHz),Z,D,PH
605,10.9720,1.08833,0.62652,57.9320
606,11.0570,1.10255,0.61345,58.4730
607,11.1440,1.11694,0.60172,58.9640
608,11.2310,1.13122,0.58893,59.5050
609,11.3180,1.14602,0.5780,59.9720
610,11.4070,1.16054,0.56631,60.4770
611,11.4960,1.17567,0.55592,60.9290
612,11.5860,1.19089,0.54509,61.4050
613,11.6760,1.2061,0.53527,61.8410
614,11.7670,1.22119,0.5253,62.2870
615,11.8590,1.2367,0.51563,62.7230
616,11.9520,1.25197,0.50631,63.1470
617,12.0450,1.26775,0.49723,63.5620
618,12.1390,1.28414,0.48846,63.9660
619,12.2340,1.29996,0.47982,64.3670
620,12.3290,1.31633,0.47202,64.7320
621,12.4260,1.33354,0.46409,65.1050
622,12.5230,1.34927,0.45623,65.4760
623,12.6200,1.36566,0.44907,65.8160
624,12.7190,1.38279,0.44116,66.1950
625,12.8180,1.40008,0.43421,66.5290
626,12.9180,1.41703,0.4269,66.8820
627,13.0190,1.43425,0.42021,67.2070
628,13.1210,1.45117,0.4134,67.5400
629,13.2230,1.46889,0.40708,67.8500
630,13.3270,1.48653,0.40096,68.1510
631,13.4310,1.50425,0.39473,68.4590
632,13.5360,1.5222,0.38869,68.7590
633,13.6410,1.53951,0.38276,69.0550
634,13.7480,1.55862,0.37722,69.3320
635,13.8550,1.57666,0.37174,69.6080
636,13.9630,1.59524,0.36591,69.9020
637,14.0720,1.61344,0.36083,70.1590
638,14.1820,1.63183,0.35613,70.3980
639,14.2930,1.65149,0.35056,70.6810
640,14.4050,1.66997,0.34576,70.9270
641,14.5170,1.6890,0.34085,71.1780
642,14.6300,1.70832,0.33634,71.4100
643,14.7450,1.72761,0.33134,71.6680
644,14.8600,1.74718,0.32741,71.8710
645,14.9760,1.76636,0.32251,72.1250
646,15.0930,1.78656,0.31828,72.3450
647,15.2110,1.80651,0.31402,72.5660
648,15.3290,1.82658,0.31022,72.7650
649,15.4490,1.8464,0.30607,72.9820
650,15.5700,1.86666,0.3021,73.1900
651,15.6910,1.88742,0.29836,73.3870
652,15.8140,1.90788,0.29443,73.5940
653,15.9370,1.92903,0.29076,73.7880
654,16.0620,1.94954,0.28731,73.9700
655,16.1870,1.97029,0.28376,74.1580
656,16.3140,1.99157,0.28044,74.3340
657,16.4410,2.01303,0.2767,74.5330
658,16.5690,2.03421,0.27338,74.7100
659,16.6990,2.05606,0.27025,74.8770
660,16.8290,2.07743,0.26711,75.0450
661,16.9600,2.09959,0.26378,75.2230
662,17.0930,2.12199,0.26075,75.3860
663,17.2260,2.14373,0.25758,75.5560
664,17.3610,2.16613,0.2546,75.7160
665,17.4960,2.18821,0.25164,75.8760
666,17.6330,2.2114,0.24887,76.0250
667,17.7710,2.23394,0.2459,76.1850
668,17.9090,2.25656,0.24295,76.3450
669,18.0490,2.2795,0.24036,76.4850
670,18.1900,2.30335,0.23777,76.6250
671,18.3320,2.32673,0.23533,76.7580
672,18.4750,2.35039,0.23266,76.9030
673,18.6200,2.37381,0.23045,77.0230
674,18.7650,2.39773,0.22778,77.1680
675,18.9120,2.42219,0.22564,77.2850
676,19.0590,2.4461,0.2232,77.4180
677,19.2080,2.4699,0.22109,77.5330
678,19.3580,2.49452,0.21868,77.6650
679,19.5090,2.51894,0.2166,77.7780
680,19.6620,2.54365,0.21421,77.9090
681,19.8150,2.56873,0.21214,78.0230
682,19.9700,2.59376,0.20995,78.1430
683,20.1260,2.61827,0.20803,78.2480
684,20.2830,2.64405,0.20581,78.3710
685,20.4410,2.66954,0.20411,78.4640
686,20.6010,2.6949,0.20198,78.5810
687,20.7620,2.72101,0.19989,78.6960
688,20.9240,2.74717,0.19821,78.7890
689,21.0870,2.77312,0.19632,78.8930
690,21.2520,2.79936,0.19456,78.9900
691,21.4180,2.82586,0.19258,79.1000
692,21.5850,2.8525,0.19091,79.1920
693,21.7540,2.87959,0.18915,79.2890
694,21.9230,2.90635,0.18737,79.3880
695,22.0950,2.93372,0.18555,79.4880
696,22.2670,2.96114,0.18392,79.5780
697,22.4410,2.98858,0.18218,79.6750
698,22.6160,3.01683,0.18061,79.7620
699,22.7930,3.04483,0.17912,79.8450
700,22.9710,3.0727,0.17726,79.9480
701,23.1500,3.10123,0.17584,80.0270
702,23.3310,3.12959,0.17422,80.1170
703,23.5130,3.15809,0.17265,80.2050
704,23.6970,3.18742,0.17103,80.2950
705,23.8820,3.21649,0.1696,80.3740
706,24.0680,3.2453,0.16797,80.4650
707,24.2560,3.27529,0.16664,80.5390
708,24.4460,3.30484,0.1653,80.6140
709,24.6360,3.33509,0.1639,80.6920
710,24.8290,3.36498,0.16239,80.7760
711,25.0230,3.39576,0.16094,80.8570
712,25.2180,3.42611,0.15978,80.9220
713,25.4150,3.45649,0.15835,81.0020
714,25.6130,3.48802,0.15699,81.0780
715,25.8130,3.51884,0.15573,81.1490
716,26.0150,3.55012,0.15431,81.2280
717,26.2180,3.58242,0.15301,81.3000
718,26.4230,3.61407,0.15198,81.3580
719,26.6290,3.64615,0.15066,81.4320
720,26.8370,3.67908,0.14944,81.5010
721,27.0470,3.71181,0.14839,81.5600
722,27.2580,3.74481,0.14726,81.6230
723,27.4710,3.77768,0.1462,81.6820
724,27.6850,3.81083,0.14496,81.7520
725,27.9010,3.8446,0.14388,81.8120
726,28.1190,3.87788,0.14278,81.8740
727,28.3390,3.91207,0.14182,81.9280
728,28.5600,3.94605,0.1409,81.9800
729,28.7830,3.97994,0.13979,82.0420
730,29.0080,4.01517,0.13888,82.0940
731,29.2340,4.04987,0.13787,82.1500
732,29.4630,4.08481,0.13692,82.2040
733,29.6930,4.12022,0.13586,82.2630
734,29.9240,4.15513,0.13502,82.3100
735,30.1580,4.19121,0.13411,82.3620
736,30.3940,4.22682,0.1333,82.4070
737,30.6310,4.26229,0.13243,82.4560
738,30.8700,4.29842,0.13149,82.5090
739,31.1110,4.33476,0.13066,82.5560
740,31.3540,4.37095,0.12978,82.6050
741,31.5990,4.4073,0.12867,82.6680
742,31.8460,4.44471,0.12778,82.7180
743,32.0940,4.48175,0.12672,82.7780
744,32.3450,4.51967,0.12577,82.8310
745,32.5970,4.5580,0.12484,82.8840
746,32.8520,4.59637,0.12372,82.9470
747,33.1080,4.63542,0.12276,83.0010
748,33.3670,4.67492,0.12205,83.0410
749,33.6280,4.71497,0.12112,83.0940
750,33.8900,4.75497,0.12029,83.1410
751,34.1550,4.79599,0.11948,83.1870
752,34.4210,4.83614,0.11872,83.2300
753,34.6900,4.87695,0.11808,83.2660
754,34.9610,4.91779,0.11748,83.3000
755,35.2340,4.95865,0.11664,83.3470
756,35.5090,5.0003,0.11608,83.3790
757,35.7860,5.0419,0.11533,83.4210
758,36.0660,5.08284,0.11461,83.4620
759,36.3480,5.12507,0.11402,83.4950
760,36.6310,5.16686,0.11339,83.5310
761,36.9170,5.20947,0.11263,83.5740
762,37.2060,5.25191,0.11202,83.6080
763,37.4960,5.29511,0.11135,83.6460
764,37.7890,5.33764,0.11067,83.6850
765,38.0840,5.38162,0.11002,83.7220
766,38.3810,5.4262,0.10926,83.7640
767,38.6810,5.47067,0.10853,83.8060
768,38.9830,5.51605,0.10787,83.8430
769,39.2870,5.56068,0.10714,83.8850
770,39.5940,5.60587,0.10646,83.9230
771,39.9030,5.65182,0.10573,83.9650
772,40.2150,5.69839,0.10515,83.9970
773,40.5290,5.74499,0.10448,84.0350
774,40.8450,5.79159,0.10395,84.0650
775,41.1640,5.83857,0.10327,84.1040
776,41.4860,5.88664,0.10256,84.1440
777,41.8100,5.93514,0.10192,84.1800
778,42.1360,5.98467,0.10131,84.2150
779,42.4650,6.03439,0.10062,84.2540
780,42.7970,6.08484,0.09987,84.2970
781,43.1310,6.13535,0.09926,84.3310
782,43.4680,6.18614,0.0987,84.3630
783,43.8070,6.23548,0.09836,84.3830
784,44.1490,6.28554,0.09785,84.4110
785,44.4940,6.33335,0.09751,84.4310
786,44.8410,6.38127,0.09693,84.4630
787,45.1920,6.43041,0.09653,84.4860
788,45.5440,6.47999,0.09612,84.5100
789,45.9000,6.53158,0.09538,84.5510
790,46.2580,6.58329,0.09478,84.5860
791,46.6200,6.63622,0.09384,84.6390
792,46.9840,6.6906,0.09315,84.6780
793,47.3500,6.74577,0.09214,84.7360
794,47.7200,6.80173,0.09148,84.7730
795,48.0930,6.85879,0.09072,84.8160
796,48.4680,6.91593,0.09011,84.8510
797,48.8470,6.97329,0.08972,84.8730
798,49.2280,7.03082,0.08927,84.8990
799,49.6130,7.08825,0.08891,84.9190
800,50.0000,7.14547,0.08854,84.9400
