Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.480000e+08,-1.513672e+00,-1.513672e+00,-2.299805e+00
1.493333e+08,-1.494141e+00,-1.508789e+00,-2.270508e+00
1.506667e+08,-1.494141e+00,-1.494141e+00,-2.270508e+00
1.520000e+08,-1.499023e+00,-1.499023e+00,-2.290039e+00
1.533333e+08,-1.484375e+00,-1.484375e+00,-2.285156e+00
1.546667e+08,-1.489258e+00,-1.503906e+00,-2.285156e+00
1.560000e+08,-1.455078e+00,-1.469727e+00,-2.265625e+00
1.573333e+08,-1.474609e+00,-1.474609e+00,-2.275391e+00
1.586667e+08,-1.455078e+00,-1.455078e+00,-2.275391e+00
1.600000e+08,-1.450195e+00,-1.450195e+00,-2.270508e+00
1.613333e+08,-1.435547e+00,-1.435547e+00,-2.260742e+00
1.626667e+08,-1.489258e+00,-1.489258e+00,-2.285156e+00
1.640000e+08,-1.440430e+00,-1.445312e+00,-2.241211e+00
1.653333e+08,-1.450195e+00,-1.459961e+00,-2.280273e+00
1.666667e+08,-1.450195e+00,-1.474609e+00,-2.280273e+00
1.680000e+08,-1.450195e+00,-1.450195e+00,-2.294922e+00
1.693333e+08,-1.459961e+00,-1.459961e+00,-2.294922e+00
1.706667e+08,-1.445312e+00,-1.445312e+00,-2.265625e+00
1.720000e+08,-1.450195e+00,-1.450195e+00,-2.275391e+00
