Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.140000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,100000.000000,Manual
VBW,100000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,0 Hz,-2.04 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.666667e+08,-1.406250e+00,-2.670898e+00,-3.842773e+00,-4.873047e+00
1.680000e+08,-1.430664e+00,-2.705078e+00,-3.862305e+00,-4.892578e+00
1.693333e+08,-1.420898e+00,-2.685547e+00,-3.847656e+00,-4.868164e+00
1.706667e+08,-1.425781e+00,-2.709961e+00,-3.833008e+00,-4.882812e+00
1.720000e+08,-1.425781e+00,-2.700195e+00,-3.833008e+00,-4.873047e+00
1.733333e+08,-1.406250e+00,-2.695312e+00,-3.842773e+00,-4.882812e+00
1.746667e+08,-1.440430e+00,-2.724609e+00,-3.852539e+00,-4.882812e+00
1.760000e+08,-1.430664e+00,-2.739258e+00,-3.901367e+00,-4.931641e+00
1.773333e+08,-1.440430e+00,-2.719727e+00,-3.876953e+00,-4.931641e+00
1.786667e+08,-1.445312e+00,-2.734375e+00,-3.911133e+00,-4.936523e+00
1.800000e+08,-1.464844e+00,-2.763672e+00,-3.930664e+00,-5.004883e+00
1.813333e+08,-1.479492e+00,-2.792969e+00,-3.940430e+00,-5.014648e+00
1.826667e+08,-1.484375e+00,-2.827148e+00,-3.969727e+00,-5.058594e+00
1.840000e+08,-1.489258e+00,-2.812500e+00,-3.979492e+00,-5.043945e+00
1.853333e+08,-1.489258e+00,-2.827148e+00,-4.018555e+00,-5.087891e+00
