Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.893333e+08,-2.900391e+00,-5.029297e+00,-6.772461e+00,-8.222656e+00
1.906667e+08,-2.900391e+00,-5.048828e+00,-6.801758e+00,-8.237305e+00
1.920000e+08,-2.919922e+00,-5.083008e+00,-6.865234e+00,-8.281250e+00
1.933333e+08,-2.949219e+00,-5.122070e+00,-6.899414e+00,-8.315430e+00
1.946667e+08,-2.954102e+00,-5.131836e+00,-6.909180e+00,-8.378906e+00
1.960000e+08,-2.983398e+00,-5.185547e+00,-6.938477e+00,-8.408203e+00
1.973333e+08,-3.002930e+00,-5.170898e+00,-6.962891e+00,-8.476562e+00
1.986667e+08,-3.027344e+00,-5.244141e+00,-7.021484e+00,-8.544922e+00
2.000000e+08,-3.041992e+00,-5.249023e+00,-7.026367e+00,-8.559570e+00
2.013333e+08,-3.066406e+00,-5.283203e+00,-7.065430e+00,-8.554688e+00
2.026667e+08,-3.056641e+00,-5.297852e+00,-7.080078e+00,-8.520508e+00
2.040000e+08,-3.105469e+00,-5.307617e+00,-7.128906e+00,-8.627930e+00
2.053333e+08,-3.071289e+00,-5.307617e+00,-7.104492e+00,-8.593750e+00
2.066667e+08,-3.061523e+00,-5.297852e+00,-7.080078e+00,-8.608398e+00
2.080000e+08,-3.056641e+00,-5.288086e+00,-7.124023e+00,-8.569336e+00
2.093333e+08,-3.051758e+00,-5.292969e+00,-7.124023e+00,-8.603516e+00
2.106667e+08,-3.056641e+00,-5.283203e+00,-7.089844e+00,-8.593750e+00
2.120000e+08,-3.046875e+00,-5.278320e+00,-7.089844e+00,-8.613281e+00
2.133333e+08,-3.027344e+00,-5.249023e+00,-7.070312e+00,-8.579102e+00
2.146667e+08,-2.978516e+00,-5.239258e+00,-7.031250e+00,-8.549805e+00
2.160000e+08,-2.993164e+00,-5.200195e+00,-6.987305e+00,-8.520508e+00
2.173333e+08,-2.993164e+00,-5.214844e+00,-7.006836e+00,-8.525391e+00
2.186667e+08,-2.973633e+00,-5.170898e+00,-6.958008e+00,-8.452148e+00
2.200000e+08,-2.954102e+00,-5.117188e+00,-6.909180e+00,-8.388672e+00
2.213333e+08,-2.910156e+00,-5.073242e+00,-6.870117e+00,-8.349609e+00
2.226667e+08,-2.861328e+00,-5.009766e+00,-6.806641e+00,-8.295898e+00
2.240000e+08,-2.861328e+00,-4.970703e+00,-6.767578e+00,-8.247070e+00
2.253333e+08,-2.841797e+00,-4.951172e+00,-6.694336e+00,-8.164062e+00
2.266667e+08,-2.792969e+00,-4.892578e+00,-6.669922e+00,-8.120117e+00
2.280000e+08,-2.783203e+00,-4.858398e+00,-6.596680e+00,-8.071289e+00
2.293333e+08,-2.778320e+00,-4.804688e+00,-6.567383e+00,-7.973633e+00
2.306667e+08,-2.709961e+00,-4.746094e+00,-6.489258e+00,-7.939453e+00
2.320000e+08,-2.705078e+00,-4.721680e+00,-6.406250e+00,-7.875977e+00
2.333333e+08,-2.666016e+00,-4.648438e+00,-6.372070e+00,-7.807617e+00
2.346667e+08,-2.646484e+00,-4.619141e+00,-6.303711e+00,-7.773438e+00
2.360000e+08,-2.622070e+00,-4.565430e+00,-6.264648e+00,-7.685547e+00
2.373333e+08,-2.592773e+00,-4.536133e+00,-6.196289e+00,-7.622070e+00
2.386667e+08,-2.573242e+00,-4.477539e+00,-6.137695e+00,-7.548828e+00
2.400000e+08,-2.539062e+00,-4.458008e+00,-6.093750e+00,-7.495117e+00
2.413333e+08,-2.485352e+00,-4.394531e+00,-6.010742e+00,-7.416992e+00
2.426667e+08,-2.485352e+00,-4.365234e+00,-5.971680e+00,-7.402344e+00
2.440000e+08,-2.456055e+00,-4.355469e+00,-5.981445e+00,-7.368164e+00
2.453333e+08,-2.426758e+00,-4.291992e+00,-5.854492e+00,-7.270508e+00
2.466667e+08,-2.407227e+00,-4.267578e+00,-5.859375e+00,-7.246094e+00
2.480000e+08,-2.387695e+00,-4.218750e+00,-5.800781e+00,-7.192383e+00
2.493333e+08,-2.368164e+00,-4.208984e+00,-5.781250e+00,-7.148438e+00
2.506667e+08,-2.348633e+00,-4.165039e+00,-5.751953e+00,-7.104492e+00
2.520000e+08,-2.368164e+00,-4.150391e+00,-5.737305e+00,-7.070312e+00
2.533333e+08,-2.329102e+00,-4.125977e+00,-5.673828e+00,-7.026367e+00
2.546667e+08,-2.314453e+00,-4.086914e+00,-5.664062e+00,-6.938477e+00
2.560000e+08,-2.304688e+00,-4.067383e+00,-5.610352e+00,-6.953125e+00
2.573333e+08,-2.280273e+00,-4.047852e+00,-5.595703e+00,-6.953125e+00
2.586667e+08,-2.270508e+00,-4.018555e+00,-5.527344e+00,-6.909180e+00
2.600000e+08,-2.255859e+00,-4.003906e+00,-5.541992e+00,-6.879883e+00
2.613333e+08,-2.236328e+00,-4.013672e+00,-5.561523e+00,-6.840820e+00
2.626667e+08,-2.260742e+00,-4.033203e+00,-5.571289e+00,-6.879883e+00
2.640000e+08,-2.260742e+00,-4.008789e+00,-5.571289e+00,-6.884766e+00
