Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.822500,Auto
Start Frequency,+9.900000000e+05
Stop Frequency,+1.989900000e+08
Average Type,Log Pwr
RBW,30000.000000,Manual
VBW,30000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,990.000 kHz,-6.97 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
3.161400e+07,-3.236660e+01,-3.236660e+01,-3.812343e+01
3.187800e+07,-3.262050e+01,-3.266933e+01,-3.849453e+01
3.214200e+07,-3.275234e+01,-3.285000e+01,-3.896816e+01
3.240600e+07,-3.284511e+01,-3.302578e+01,-3.944667e+01
3.267000e+07,-3.315761e+01,-3.319667e+01,-3.987636e+01
3.293400e+07,-3.336269e+01,-3.336269e+01,-3.986171e+01
3.319800e+07,-3.357753e+01,-3.357753e+01,-4.104335e+01
3.346200e+07,-3.392421e+01,-3.392421e+01,-4.116542e+01
3.372600e+07,-3.403652e+01,-3.433437e+01,-4.162441e+01
3.399000e+07,-3.411953e+01,-3.436855e+01,-4.224453e+01
3.425400e+07,-3.434902e+01,-3.434902e+01,-4.254238e+01
3.451800e+07,-3.460781e+01,-3.466640e+01,-4.326015e+01
3.478200e+07,-3.482753e+01,-3.482753e+01,-4.383144e+01
3.504600e+07,-3.519375e+01,-3.522304e+01,-4.396328e+01
3.531000e+07,-3.529628e+01,-3.547695e+01,-4.438808e+01
3.557400e+07,-3.489101e+01,-3.553066e+01,-4.415371e+01
3.583800e+07,-3.473476e+01,-3.598476e+01,-4.600917e+01
3.610200e+07,-3.433925e+01,-3.632656e+01,-4.683925e+01
3.636600e+07,-3.415859e+01,-3.655117e+01,-4.708339e+01
3.663000e+07,-3.399257e+01,-3.644375e+01,-4.781582e+01
3.689400e+07,-3.373867e+01,-3.680507e+01,-4.809902e+01
3.715800e+07,-3.356777e+01,-3.697109e+01,-4.962246e+01
3.742200e+07,-3.320156e+01,-3.744472e+01,-4.956386e+01
3.768600e+07,-3.315761e+01,-3.776210e+01,-5.042324e+01
3.795000e+07,-3.294277e+01,-3.764980e+01,-5.083828e+01
3.821400e+07,-3.272304e+01,-3.809902e+01,-5.055019e+01
3.847800e+07,-3.248867e+01,-3.857265e+01,-5.167324e+01
3.874200e+07,-3.233242e+01,-3.873378e+01,-5.168789e+01
3.900600e+07,-3.204921e+01,-3.892910e+01,-5.243007e+01
3.927000e+07,-3.199550e+01,-3.915371e+01,-5.352382e+01
3.953400e+07,-3.176113e+01,-3.950527e+01,-5.261562e+01
3.979800e+07,-3.170253e+01,-3.986660e+01,-5.395839e+01
4.006200e+07,-3.157070e+01,-4.042812e+01,-5.215664e+01
4.032600e+07,-3.136562e+01,-4.008632e+01,-5.194667e+01
4.059000e+07,-3.117031e+01,-4.034511e+01,-5.140957e+01
4.085400e+07,-3.103847e+01,-4.121914e+01,-5.129726e+01
4.111800e+07,-3.093105e+01,-4.168300e+01,-5.069667e+01
4.138200e+07,-3.077968e+01,-4.171230e+01,-5.108242e+01
4.164600e+07,-3.065761e+01,-4.211269e+01,-5.032070e+01
4.191000e+07,-3.062832e+01,-4.210292e+01,-4.979824e+01
4.217400e+07,-3.031093e+01,-4.286953e+01,-4.959316e+01
4.243800e+07,-3.032070e+01,-4.296230e+01,-4.976894e+01
4.270200e+07,-3.014980e+01,-4.263027e+01,-4.888515e+01
4.296600e+07,-3.002773e+01,-4.286464e+01,-4.835292e+01
4.323000e+07,-2.996425e+01,-4.426113e+01,-4.813320e+01
4.349400e+07,-2.982753e+01,-4.429042e+01,-4.783046e+01
4.375800e+07,-2.970546e+01,-4.495449e+01,-4.762050e+01
4.402200e+07,-2.954433e+01,-4.461757e+01,-4.727382e+01
4.428600e+07,-2.940273e+01,-4.550625e+01,-4.744960e+01
