Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.093333e+08,-8.691406e-01,-1.704102e+00,-2.587891e+00,-3.334961e+00
1.106667e+08,-8.056641e-01,-1.723633e+00,-2.543945e+00,-3.291016e+00
1.120000e+08,-8.007812e-01,-1.767578e+00,-2.607422e+00,-3.334961e+00
1.133333e+08,-8.251953e-01,-1.762695e+00,-2.592773e+00,-3.325195e+00
1.146667e+08,-8.300781e-01,-1.767578e+00,-2.622070e+00,-3.359375e+00
1.160000e+08,-8.203125e-01,-1.767578e+00,-2.563477e+00,-3.330078e+00
1.173333e+08,-8.300781e-01,-1.787109e+00,-2.626953e+00,-3.344727e+00
1.186667e+08,-8.789062e-01,-1.816406e+00,-2.666016e+00,-3.369141e+00
1.200000e+08,-8.642578e-01,-1.787109e+00,-2.641602e+00,-3.354492e+00
1.213333e+08,-8.642578e-01,-1.772461e+00,-2.622070e+00,-3.364258e+00
1.226667e+08,-8.544922e-01,-1.777344e+00,-2.617188e+00,-3.364258e+00
1.240000e+08,-8.447266e-01,-1.787109e+00,-2.626953e+00,-3.378906e+00
1.253333e+08,-8.740234e-01,-1.801758e+00,-2.661133e+00,-3.442383e+00
1.266667e+08,-8.203125e-01,-1.738281e+00,-2.607422e+00,-3.330078e+00
1.280000e+08,-8.544922e-01,-1.767578e+00,-2.612305e+00,-3.388672e+00
1.293333e+08,-8.740234e-01,-1.752930e+00,-2.666016e+00,-3.447266e+00
1.306667e+08,-8.593750e-01,-1.723633e+00,-2.661133e+00,-3.403320e+00
1.320000e+08,-8.642578e-01,-1.733398e+00,-2.675781e+00,-3.447266e+00
1.333333e+08,-8.691406e-01,-1.752930e+00,-2.646484e+00,-3.461914e+00
1.346667e+08,-8.789062e-01,-1.752930e+00,-2.695312e+00,-3.452148e+00
1.360000e+08,-8.935547e-01,-1.787109e+00,-2.617188e+00,-3.432617e+00
1.373333e+08,-8.496094e-01,-1.772461e+00,-2.685547e+00,-3.432617e+00
1.386667e+08,-8.886719e-01,-1.787109e+00,-2.622070e+00,-3.437500e+00
1.400000e+08,-8.642578e-01,-1.787109e+00,-2.641602e+00,-3.442383e+00
1.413333e+08,-8.740234e-01,-1.772461e+00,-2.641602e+00,-3.432617e+00
1.426667e+08,-8.642578e-01,-1.796875e+00,-2.700195e+00,-3.422852e+00
1.440000e+08,-9.179688e-01,-1.831055e+00,-2.700195e+00,-3.432617e+00
1.453333e+08,-8.544922e-01,-1.757812e+00,-2.646484e+00,-3.413086e+00
1.466667e+08,-8.544922e-01,-1.777344e+00,-2.666016e+00,-3.413086e+00
1.480000e+08,-8.886719e-01,-1.806641e+00,-2.690430e+00,-3.383789e+00
1.493333e+08,-8.642578e-01,-1.782227e+00,-2.651367e+00,-3.383789e+00
1.506667e+08,-8.837891e-01,-1.821289e+00,-2.607422e+00,-3.452148e+00
1.520000e+08,-9.033203e-01,-1.816406e+00,-2.636719e+00,-3.403320e+00
1.533333e+08,-8.203125e-01,-1.777344e+00,-2.631836e+00,-3.408203e+00
1.546667e+08,-8.837891e-01,-1.782227e+00,-2.626953e+00,-3.374023e+00
1.560000e+08,-8.251953e-01,-1.757812e+00,-2.631836e+00,-3.354492e+00
1.573333e+08,-8.691406e-01,-1.787109e+00,-2.602539e+00,-3.334961e+00
1.586667e+08,-8.544922e-01,-1.762695e+00,-2.583008e+00,-3.417969e+00
1.600000e+08,-8.496094e-01,-1.762695e+00,-2.543945e+00,-3.349609e+00
1.613333e+08,-8.837891e-01,-1.782227e+00,-2.607422e+00,-3.417969e+00
1.626667e+08,-8.935547e-01,-1.782227e+00,-2.646484e+00,-3.374023e+00
1.640000e+08,-8.691406e-01,-1.791992e+00,-2.612305e+00,-3.388672e+00
1.653333e+08,-7.861328e-01,-1.762695e+00,-2.543945e+00,-3.369141e+00
1.666667e+08,-8.740234e-01,-1.762695e+00,-2.607422e+00,-3.393555e+00
1.680000e+08,-8.886719e-01,-1.840820e+00,-2.656250e+00,-3.417969e+00
1.693333e+08,-8.544922e-01,-1.767578e+00,-2.602539e+00,-3.369141e+00
1.706667e+08,-8.740234e-01,-1.767578e+00,-2.631836e+00,-3.393555e+00
1.720000e+08,-8.496094e-01,-1.733398e+00,-2.583008e+00,-3.383789e+00
1.733333e+08,-8.691406e-01,-1.787109e+00,-2.661133e+00,-3.427734e+00
1.746667e+08,-8.642578e-01,-1.748047e+00,-2.670898e+00,-3.349609e+00
1.760000e+08,-8.984375e-01,-1.787109e+00,-2.695312e+00,-3.437500e+00
1.773333e+08,-8.984375e-01,-1.821289e+00,-2.714844e+00,-3.413086e+00
1.786667e+08,-8.837891e-01,-1.801758e+00,-2.656250e+00,-3.413086e+00
1.800000e+08,-9.033203e-01,-1.826172e+00,-2.700195e+00,-3.447266e+00
1.813333e+08,-8.837891e-01,-1.850586e+00,-2.719727e+00,-3.496094e+00
1.826667e+08,-8.691406e-01,-1.806641e+00,-2.700195e+00,-3.476562e+00
1.840000e+08,-9.179688e-01,-1.865234e+00,-2.729492e+00,-3.491211e+00
1.853333e+08,-9.326172e-01,-1.870117e+00,-2.753906e+00,-3.530273e+00
1.866667e+08,-8.837891e-01,-1.796875e+00,-2.744141e+00,-3.520508e+00
1.880000e+08,-8.691406e-01,-1.855469e+00,-2.768555e+00,-3.564453e+00
1.893333e+08,-9.277344e-01,-1.879883e+00,-2.778320e+00,-3.583984e+00
1.906667e+08,-9.082031e-01,-1.845703e+00,-2.792969e+00,-3.549805e+00
1.920000e+08,-9.130859e-01,-1.875000e+00,-2.783203e+00,-3.544922e+00
1.933333e+08,-9.277344e-01,-1.914062e+00,-2.788086e+00,-3.569336e+00
1.946667e+08,-9.033203e-01,-1.889648e+00,-2.827148e+00,-3.598633e+00
1.960000e+08,-9.619141e-01,-1.948242e+00,-2.875977e+00,-3.642578e+00
1.973333e+08,-9.423828e-01,-1.918945e+00,-2.832031e+00,-3.662109e+00
1.986667e+08,-9.863281e-01,-1.933594e+00,-2.890625e+00,-3.701172e+00
2.000000e+08,-8.984375e-01,-1.943359e+00,-2.846680e+00,-3.627930e+00
2.013333e+08,-9.716797e-01,-1.992188e+00,-2.963867e+00,-3.720703e+00
2.026667e+08,-9.716797e-01,-1.982422e+00,-2.929688e+00,-3.686523e+00
2.040000e+08,-9.570312e-01,-1.977539e+00,-2.939453e+00,-3.769531e+00
2.053333e+08,-9.033203e-01,-1.962891e+00,-2.866211e+00,-3.666992e+00
2.066667e+08,-9.521484e-01,-1.997070e+00,-2.885742e+00,-3.730469e+00
2.080000e+08,-9.814453e-01,-1.948242e+00,-2.939453e+00,-3.701172e+00
2.093333e+08,-9.619141e-01,-2.006836e+00,-2.915039e+00,-3.715820e+00
2.106667e+08,-9.375000e-01,-1.977539e+00,-2.919922e+00,-3.701172e+00
2.120000e+08,-1.020508e+00,-2.031250e+00,-2.944336e+00,-3.774414e+00
2.133333e+08,-9.570312e-01,-2.031250e+00,-2.875977e+00,-3.754883e+00
2.146667e+08,-9.667969e-01,-2.016602e+00,-2.949219e+00,-3.706055e+00
2.160000e+08,-9.716797e-01,-1.992188e+00,-2.871094e+00,-3.774414e+00
2.173333e+08,-1.000977e+00,-2.021484e+00,-2.983398e+00,-3.759766e+00
2.186667e+08,-9.716797e-01,-1.904297e+00,-2.934570e+00,-3.715820e+00
2.200000e+08,-9.765625e-01,-1.977539e+00,-2.968750e+00,-3.720703e+00
2.213333e+08,-1.010742e+00,-2.016602e+00,-2.939453e+00,-3.774414e+00
2.226667e+08,-9.667969e-01,-2.016602e+00,-2.905273e+00,-3.754883e+00
2.240000e+08,-9.423828e-01,-1.948242e+00,-2.851562e+00,-3.691406e+00
2.253333e+08,-1.015625e+00,-2.050781e+00,-2.924805e+00,-3.725586e+00
2.266667e+08,-9.228516e-01,-1.982422e+00,-2.900391e+00,-3.720703e+00
2.280000e+08,-9.619141e-01,-1.992188e+00,-2.944336e+00,-3.740234e+00
2.293333e+08,-9.765625e-01,-1.948242e+00,-2.861328e+00,-3.696289e+00
2.306667e+08,-9.277344e-01,-1.953125e+00,-2.812500e+00,-3.671875e+00
2.320000e+08,-9.716797e-01,-1.982422e+00,-2.866211e+00,-3.701172e+00
2.333333e+08,-9.228516e-01,-1.972656e+00,-2.866211e+00,-3.657227e+00
