Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.822500,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+2.000000000e+08
Average Type,Log Pwr
RBW,30000.000000,Manual
VBW,30000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,0 Hz,1.92 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B
5.920000e+07,-2.549648e+01,-3.847988e+01
5.946667e+07,-2.544765e+01,-3.832363e+01
5.973333e+07,-2.537929e+01,-3.842617e+01
6.000000e+07,-2.531093e+01,-3.801601e+01
6.026666e+07,-2.535488e+01,-3.807949e+01
6.053333e+07,-2.527675e+01,-3.803066e+01
6.080000e+07,-2.518398e+01,-3.773769e+01
6.106667e+07,-2.523281e+01,-3.777187e+01
6.133334e+07,-2.519375e+01,-3.764492e+01
6.160000e+07,-2.509609e+01,-3.745449e+01
6.186667e+07,-2.512050e+01,-3.722011e+01
6.213333e+07,-2.498867e+01,-3.717128e+01
6.240000e+07,-2.496425e+01,-3.705410e+01
6.266666e+07,-2.496914e+01,-3.724453e+01
6.293334e+07,-2.479335e+01,-3.705410e+01
6.320000e+07,-2.483242e+01,-3.683925e+01
6.346667e+07,-2.481289e+01,-3.686367e+01
6.373334e+07,-2.466640e+01,-3.665371e+01
6.400000e+07,-2.477871e+01,-3.661464e+01
6.426666e+07,-2.463710e+01,-3.660000e+01
6.453333e+07,-2.464199e+01,-3.630703e+01
6.480000e+07,-2.459316e+01,-3.632656e+01
6.506666e+07,-2.461757e+01,-3.626796e+01
6.533334e+07,-2.450527e+01,-3.623867e+01
6.560000e+07,-2.444667e+01,-3.602382e+01
6.586667e+07,-2.446132e+01,-3.597500e+01
6.613333e+07,-2.437832e+01,-3.563808e+01
6.640000e+07,-2.437343e+01,-3.581875e+01
6.666666e+07,-2.429531e+01,-3.558437e+01
6.693333e+07,-2.426601e+01,-3.565273e+01
6.720000e+07,-2.421718e+01,-3.548183e+01
6.746667e+07,-2.416347e+01,-3.544765e+01
6.773334e+07,-2.414882e+01,-3.541835e+01
6.800000e+07,-2.403652e+01,-3.536953e+01
6.826666e+07,-2.401699e+01,-3.539394e+01
6.853334e+07,-2.403652e+01,-3.522792e+01
6.880000e+07,-2.397304e+01,-3.516445e+01
6.906666e+07,-2.390957e+01,-3.503261e+01
6.933333e+07,-2.389980e+01,-3.487148e+01
6.960000e+07,-2.383144e+01,-3.499355e+01
6.986667e+07,-2.380703e+01,-3.481777e+01
7.013334e+07,-2.386562e+01,-3.480800e+01
7.040000e+07,-2.375820e+01,-3.478359e+01
7.066666e+07,-2.368984e+01,-3.460781e+01
7.093333e+07,-2.379238e+01,-3.465175e+01
7.120000e+07,-2.365566e+01,-3.451015e+01
7.146667e+07,-2.355312e+01,-3.453457e+01
7.173334e+07,-2.357753e+01,-3.425136e+01
7.200000e+07,-2.358242e+01,-3.424160e+01
7.226666e+07,-2.352871e+01,-3.421230e+01
7.253334e+07,-2.352382e+01,-3.403652e+01
7.280000e+07,-2.344570e+01,-3.411464e+01
7.306666e+07,-2.335781e+01,-3.384121e+01
7.333333e+07,-2.341640e+01,-3.389980e+01
7.360000e+07,-2.330898e+01,-3.391445e+01
7.386667e+07,-2.328945e+01,-3.387050e+01
7.413334e+07,-2.320156e+01,-3.377285e+01
7.440000e+07,-2.316250e+01,-3.359707e+01
7.466666e+07,-2.326015e+01,-3.372890e+01
7.493334e+07,-2.311367e+01,-3.367519e+01
7.520000e+07,-2.312343e+01,-3.350429e+01
7.546666e+07,-2.305019e+01,-3.342128e+01
7.573334e+07,-2.306972e+01,-3.331386e+01
7.600000e+07,-2.307460e+01,-3.335292e+01
7.626667e+07,-2.298671e+01,-3.322597e+01
7.653334e+07,-2.292812e+01,-3.318203e+01
7.680000e+07,-2.286464e+01,-3.327968e+01
7.706666e+07,-2.287929e+01,-3.312343e+01
7.733333e+07,-2.285488e+01,-3.306484e+01
7.760000e+07,-2.280117e+01,-3.299648e+01
7.786666e+07,-2.269375e+01,-3.286464e+01
7.813334e+07,-2.271816e+01,-3.292812e+01
7.840000e+07,-2.269863e+01,-3.280117e+01
7.866666e+07,-2.264492e+01,-3.261562e+01
7.893334e+07,-2.266445e+01,-3.256679e+01
7.920000e+07,-2.251796e+01,-3.261562e+01
7.946666e+07,-2.255214e+01,-3.261562e+01
7.973333e+07,-2.251796e+01,-3.251308e+01
8.000000e+07,-2.244960e+01,-3.255703e+01
8.026667e+07,-2.239589e+01,-3.246914e+01
8.053334e+07,-2.231777e+01,-3.228847e+01
8.080000e+07,-2.242519e+01,-3.243984e+01
8.106666e+07,-2.233242e+01,-3.223964e+01
8.133334e+07,-2.229335e+01,-3.217617e+01
8.160000e+07,-2.212734e+01,-3.210292e+01
8.186666e+07,-2.215175e+01,-3.200039e+01
8.213333e+07,-2.215175e+01,-3.204433e+01
8.240000e+07,-2.210781e+01,-3.183437e+01
8.266667e+07,-2.207851e+01,-3.178066e+01
8.293334e+07,-2.201992e+01,-3.180996e+01
8.320000e+07,-2.197109e+01,-3.171718e+01
8.346666e+07,-2.198085e+01,-3.166835e+01
8.373333e+07,-2.193691e+01,-3.164394e+01
8.400000e+07,-2.188808e+01,-3.161464e+01
8.426667e+07,-2.184414e+01,-3.148769e+01
8.453334e+07,-2.181484e+01,-3.148769e+01
8.480000e+07,-2.176601e+01,-3.156093e+01
8.506666e+07,-2.169277e+01,-3.148769e+01
8.533334e+07,-2.171718e+01,-3.120449e+01
8.560000e+07,-2.164882e+01,-3.121425e+01
8.586666e+07,-2.161464e+01,-3.130703e+01
8.613333e+07,-2.158535e+01,-3.113125e+01
8.640000e+07,-2.159511e+01,-3.123378e+01
8.666667e+07,-2.150234e+01,-3.105312e+01
8.693334e+07,-2.150722e+01,-3.110195e+01
8.720000e+07,-2.151210e+01,-3.109707e+01
8.746666e+07,-2.137050e+01,-3.100429e+01
8.773334e+07,-2.138515e+01,-3.098476e+01
8.800000e+07,-2.128261e+01,-3.087734e+01
8.826666e+07,-2.135097e+01,-3.090175e+01
8.853334e+07,-2.136074e+01,-3.066738e+01
8.880000e+07,-2.124843e+01,-3.070644e+01
8.906667e+07,-2.122402e+01,-3.071621e+01
8.933334e+07,-2.109218e+01,-3.052578e+01
8.960000e+07,-2.118007e+01,-3.072109e+01
8.986666e+07,-2.109218e+01,-3.059414e+01
9.013333e+07,-2.107753e+01,-3.055019e+01
9.040000e+07,-2.101406e+01,-3.039394e+01
9.066666e+07,-2.096035e+01,-3.041347e+01
9.093334e+07,-2.102382e+01,-3.037441e+01
9.120000e+07,-2.092617e+01,-3.037441e+01
9.146666e+07,-2.088222e+01,-3.029628e+01
9.173334e+07,-2.083828e+01,-3.025234e+01
9.200001e+07,-2.087734e+01,-3.022792e+01
9.226667e+07,-2.088710e+01,-3.013027e+01
9.253334e+07,-2.087734e+01,-3.017421e+01
9.280000e+07,-2.075527e+01,-3.008632e+01
9.306667e+07,-2.074062e+01,-2.989101e+01
9.333334e+07,-2.073085e+01,-3.005703e+01
9.360000e+07,-2.071132e+01,-3.000332e+01
9.386666e+07,-2.067226e+01,-2.998867e+01
9.413334e+07,-2.058925e+01,-2.985195e+01
9.440000e+07,-2.061367e+01,-2.990566e+01
9.466666e+07,-2.060390e+01,-2.978359e+01
9.493333e+07,-2.056484e+01,-2.975917e+01
9.520000e+07,-2.053066e+01,-2.969082e+01
9.546666e+07,-2.049648e+01,-2.976406e+01
9.573333e+07,-2.048671e+01,-2.962246e+01
9.599999e+07,-2.044277e+01,-2.966152e+01
9.626667e+07,-2.039394e+01,-2.954921e+01
9.653334e+07,-2.034023e+01,-2.955410e+01
9.680000e+07,-2.035488e+01,-2.953457e+01
9.706667e+07,-2.037441e+01,-2.941250e+01
9.733334e+07,-2.030117e+01,-2.951015e+01
9.760000e+07,-2.031582e+01,-2.945644e+01
9.786666e+07,-2.021328e+01,-2.936855e+01
9.813334e+07,-2.019375e+01,-2.933925e+01
9.840000e+07,-2.022304e+01,-2.935878e+01
9.866666e+07,-2.017421e+01,-2.929042e+01
9.893333e+07,-2.013027e+01,-2.933925e+01
9.920000e+07,-2.009609e+01,-2.911953e+01
9.946666e+07,-2.017421e+01,-2.918300e+01
9.973333e+07,-2.008632e+01,-2.917324e+01
1.000000e+08,-2.012050e+01,-2.924648e+01
1.002667e+08,-2.004726e+01,-2.912441e+01
1.005333e+08,-1.994472e+01,-2.891445e+01
1.008000e+08,-2.004238e+01,-2.900722e+01
1.010667e+08,-2.002285e+01,-2.898281e+01
1.013333e+08,-1.997402e+01,-2.903652e+01
1.016000e+08,-1.987148e+01,-2.890468e+01
1.018667e+08,-1.992031e+01,-2.893886e+01
1.021333e+08,-1.991054e+01,-2.889492e+01
1.024000e+08,-1.989101e+01,-2.886074e+01
1.026667e+08,-1.990078e+01,-2.880214e+01
1.029333e+08,-1.979824e+01,-2.875332e+01
1.032000e+08,-1.985683e+01,-2.879726e+01
1.034667e+08,-1.984218e+01,-2.879726e+01
1.037333e+08,-1.979335e+01,-2.863613e+01
1.040000e+08,-1.979824e+01,-2.865566e+01
1.042667e+08,-1.969082e+01,-2.858730e+01
1.045333e+08,-1.972500e+01,-2.864101e+01
1.048000e+08,-1.974941e+01,-2.865078e+01
1.050667e+08,-1.972500e+01,-2.861171e+01
1.053333e+08,-1.970546e+01,-2.858730e+01
1.056000e+08,-1.964687e+01,-2.852382e+01
1.058667e+08,-1.971035e+01,-2.844570e+01
1.061333e+08,-1.959804e+01,-2.848964e+01
1.064000e+08,-1.959316e+01,-2.839687e+01
1.066667e+08,-1.955898e+01,-2.843105e+01
1.069333e+08,-1.956386e+01,-2.835292e+01
1.072000e+08,-1.962734e+01,-2.840175e+01
1.074667e+08,-1.955410e+01,-2.834316e+01
1.077333e+08,-1.951015e+01,-2.833828e+01
1.080000e+08,-1.947597e+01,-2.825527e+01
1.082667e+08,-1.951015e+01,-2.820156e+01
1.085333e+08,-1.953457e+01,-2.830410e+01
1.088000e+08,-1.953945e+01,-2.828457e+01
1.090667e+08,-1.946132e+01,-2.821132e+01
1.093333e+08,-1.941250e+01,-2.818203e+01
1.096000e+08,-1.946132e+01,-2.819667e+01
1.098667e+08,-1.942226e+01,-2.817714e+01
1.101333e+08,-1.938320e+01,-2.808437e+01
1.104000e+08,-1.936367e+01,-2.812343e+01
1.106667e+08,-1.940273e+01,-2.813320e+01
1.109333e+08,-1.937343e+01,-2.811367e+01
1.112000e+08,-1.936367e+01,-2.792324e+01
1.114667e+08,-1.933925e+01,-2.801601e+01
1.117333e+08,-1.926113e+01,-2.785976e+01
1.120000e+08,-1.934902e+01,-2.794277e+01
1.122667e+08,-1.928066e+01,-2.796718e+01
1.125333e+08,-1.927089e+01,-2.783046e+01
1.128000e+08,-1.926113e+01,-2.787929e+01
1.130667e+08,-1.921230e+01,-2.782558e+01
1.133333e+08,-1.929042e+01,-2.792812e+01
1.136000e+08,-1.924160e+01,-2.785000e+01
1.138667e+08,-1.924160e+01,-2.779628e+01
1.141333e+08,-1.914394e+01,-2.766445e+01
1.144000e+08,-1.913906e+01,-2.775234e+01
1.146667e+08,-1.921230e+01,-2.777187e+01
1.149333e+08,-1.913417e+01,-2.767910e+01
1.152000e+08,-1.915859e+01,-2.766933e+01
1.154667e+08,-1.909511e+01,-2.760585e+01
1.157333e+08,-1.907558e+01,-2.762050e+01
1.160000e+08,-1.910000e+01,-2.764980e+01
1.162667e+08,-1.909511e+01,-2.761074e+01
1.165333e+08,-1.906582e+01,-2.757167e+01
1.168000e+08,-1.900722e+01,-2.753750e+01
1.170667e+08,-1.904628e+01,-2.755214e+01
1.173333e+08,-1.905117e+01,-2.753261e+01
1.176000e+08,-1.900234e+01,-2.754238e+01
1.178667e+08,-1.896328e+01,-2.751796e+01
1.181333e+08,-1.900722e+01,-2.744472e+01
1.184000e+08,-1.898281e+01,-2.743984e+01
1.186667e+08,-1.895839e+01,-2.738613e+01
1.189333e+08,-1.895839e+01,-2.745937e+01
1.192000e+08,-1.894375e+01,-2.735683e+01
1.194667e+08,-1.889003e+01,-2.741542e+01
1.197333e+08,-1.893398e+01,-2.732265e+01
1.200000e+08,-1.891933e+01,-2.732753e+01
1.202667e+08,-1.889980e+01,-2.730800e+01
1.205333e+08,-1.886074e+01,-2.715664e+01
1.208000e+08,-1.886562e+01,-2.729335e+01
1.210667e+08,-1.885585e+01,-2.721523e+01
1.213333e+08,-1.883632e+01,-2.716640e+01
1.216000e+08,-1.880214e+01,-2.720058e+01
1.218667e+08,-1.881679e+01,-2.722988e+01
1.221333e+08,-1.881679e+01,-2.719570e+01
1.224000e+08,-1.876796e+01,-2.712246e+01
1.226667e+08,-1.880214e+01,-2.715175e+01
1.229333e+08,-1.875820e+01,-2.707851e+01
1.232000e+08,-1.878750e+01,-2.713222e+01
1.234667e+08,-1.878750e+01,-2.716152e+01
1.237333e+08,-1.875820e+01,-2.698574e+01
1.240000e+08,-1.871425e+01,-2.706386e+01
1.242667e+08,-1.869472e+01,-2.701992e+01
1.245333e+08,-1.872890e+01,-2.702968e+01
1.248000e+08,-1.872890e+01,-2.705410e+01
1.250667e+08,-1.872402e+01,-2.701992e+01
1.253333e+08,-1.868984e+01,-2.697597e+01
1.256000e+08,-1.863613e+01,-2.689785e+01
1.258667e+08,-1.867519e+01,-2.695156e+01
1.261333e+08,-1.866054e+01,-2.691250e+01
1.264000e+08,-1.864589e+01,-2.694179e+01
1.266667e+08,-1.862148e+01,-2.684414e+01
1.269333e+08,-1.863613e+01,-2.671230e+01
1.272000e+08,-1.861660e+01,-2.684414e+01
1.274667e+08,-1.860683e+01,-2.685878e+01
1.277333e+08,-1.857265e+01,-2.685878e+01
1.280000e+08,-1.852871e+01,-2.676113e+01
1.282667e+08,-1.857753e+01,-2.679042e+01
1.285333e+08,-1.858242e+01,-2.677578e+01
1.288000e+08,-1.857753e+01,-2.673183e+01
1.290667e+08,-1.852871e+01,-2.672695e+01
1.293333e+08,-1.847988e+01,-2.668300e+01
1.296000e+08,-1.853847e+01,-2.672695e+01
1.298667e+08,-1.848476e+01,-2.662441e+01
1.301333e+08,-1.850429e+01,-2.670253e+01
1.304000e+08,-1.840664e+01,-2.655605e+01
1.306667e+08,-1.841640e+01,-2.660488e+01
1.309333e+08,-1.842617e+01,-2.665859e+01
